customer_id,customer_name,gender,age,city,state,customer_segment,acquisition_channel,registration_date
C00001,Customer 1,Female,26,Lucknow,Uttar Pradesh,One-Time,Marketplace,2025-10-23
C00002,Customer 2,Female,50,Madurai,Tamil Nadu,New,Marketplace,2026-03-04
C00003,Customer 3,Female,22,Lucknow,Uttar Pradesh,One-Time,Influencer,2025-05-29
C00004,Customer 4,Male,54,Udaipur,Rajasthan,At-Risk,Instagram,2025-01-07
C00005,Customer 5,Female,19,Warangal,Telangana,Loyal,Email,2024-01-05
C00006,Customer 6,Male,32,Kochi,Kerala,New,Email,2025-07-05
C00007,Customer 7,Male,30,Noida,Uttar Pradesh,One-Time,Google Ads,2026-03-28
C00008,Customer 8,Female,25,Lucknow,Uttar Pradesh,Dormant,Influencer,2024-05-06
C00009,Customer 9,Male,43,Nagpur,Maharashtra,Loyal,Organic Search,2024-08-07
C00010,Customer 10,Female,28,New Delhi,Delhi,Loyal,Organic Search,2025-04-19
C00011,Customer 11,Female,25,Coimbatore,Tamil Nadu,New,Meta Ads,2025-04-25
C00012,Customer 12,Female,36,Kochi,Kerala,One-Time,Google Ads,2025-01-16
C00013,Customer 13,Female,41,Kolkata,West Bengal,At-Risk,Influencer,2024-05-12
C00014,Customer 14,Male,48,Noida,Uttar Pradesh,At-Risk,Google Ads,2025-03-11
C00015,Customer 15,Male,22,Chennai,Tamil Nadu,Loyal,Google Ads,2025-03-29
C00016,Customer 16,Male,27,Nagpur,Maharashtra,At-Risk,Organic Search,2024-06-14
C00017,Customer 17,Male,20,Ahmedabad,Gujarat,One-Time,Organic Search,2025-07-01
C00018,Customer 18,Male,55,Hyderabad,Telangana,At-Risk,Google Ads,2026-02-18
C00019,Customer 19,Male,44,Noida,Uttar Pradesh,New,Meta Ads,2024-03-19
C00020,Customer 20,Male,29,Kolkata,West Bengal,One-Time,Affiliate,2024-03-12
C00021,Customer 21,Male,43,Jodhpur,Rajasthan,At-Risk,Marketplace,2025-05-25
C00022,Customer 22,Female,56,Madurai,Tamil Nadu,Dormant,Email,2025-12-04
C00023,Customer 23,Male,54,Kochi,Kerala,VIP,Affiliate,2024-04-01
C00024,Customer 24,Male,62,Thiruvananthapuram,Kerala,Loyal,Meta Ads,2026-04-29
C00025,Customer 25,Female,29,Lucknow,Uttar Pradesh,At-Risk,Organic Search,2025-03-05
C00026,Customer 26,Male,25,Mumbai,Maharashtra,VIP,Email,2024-04-05
C00027,Customer 27,Male,54,New Delhi,Delhi,One-Time,Influencer,2025-02-06
C00028,Customer 28,Other,62,Hyderabad,Telangana,Loyal,Affiliate,2025-01-25
C00029,Customer 29,Female,26,Pune,Maharashtra,Loyal,Meta Ads,2024-12-17
C00030,Customer 30,Female,51,Howrah,West Bengal,Loyal,Google Ads,2025-06-10
C00031,Customer 31,Female,45,Udaipur,Rajasthan,At-Risk,Affiliate,2024-08-10
C00032,Customer 32,Male,60,Kochi,Kerala,Loyal,Google Ads,2026-06-11
C00033,Customer 33,Male,27,Mangaluru,Karnataka,New,Organic Search,2024-09-14
C00034,Customer 34,Male,34,Coimbatore,Tamil Nadu,New,Email,2026-02-17
C00035,Customer 35,Male,47,Delhi,Delhi,At-Risk,Google Ads,2026-01-06
C00036,Customer 36,Female,59,Nagpur,Maharashtra,New,Organic Search,2025-01-07
C00037,Customer 37,Female,57,Pune,Maharashtra,At-Risk,Email,2024-06-22
C00038,Customer 38,Male,40,New Delhi,Delhi,New,Influencer,2026-05-21
C00039,Customer 39,Female,35,Pune,Maharashtra,One-Time,Meta Ads,2025-05-30
