inventory_id,product_id,date,opening_stock,units_received,units_sold,closing_stock,reorder_level
INV0000001,P0001,2026-01-01,314,389,116,587,52
INV0000002,P0002,2026-01-01,288,82,81,289,50
INV0000003,P0003,2026-01-01,203,192,23,372,50
INV0000004,P0004,2026-01-01,514,82,38,558,50
INV0000005,P0005,2026-01-01,465,250,88,627,50
INV0000006,P0006,2026-01-01,55,378,59,374,50
INV0000007,P0007,2026-01-01,648,206,27,827,50
INV0000008,P0008,2026-01-01,340,45,41,344,50
INV0000009,P0009,2026-01-01,638,359,131,866,58
INV0000010,P0010,2026-01-01,69,60,114,15,51
INV0000011,P0011,2026-01-01,622,263,86,799,50
INV0000012,P0012,2026-01-01,472,311,91,692,50
INV0000013,P0013,2026-01-01,136,175,61,250,50
INV0000014,P0014,2026-01-01,655,290,12,933,50
INV0000015,P0015,2026-01-01,130,14,85,59,50
INV0000016,P0016,2026-01-01,159,382,134,407,60
INV0000017,P0017,2026-01-01,168,157,125,200,56
INV0000018,P0018,2026-01-01,440,278,158,560,71
INV0000019,P0019,2026-01-01,423,160,147,436,66
INV0000020,P0020,2026-01-01,497,172,142,527,63
INV0000021,P0021,2026-01-01,120,30,148,2,66
INV0000022,P0022,2026-01-01,569,0,56,513,50
INV0000023,P0023,2026-01-01,391,207,111,487,50
INV0000024,P0024,2026-01-01,51,269,89,231,50
INV0000025,P0025,2026-01-01,471,17,76,412,50
INV0000026,P0026,2026-01-01,84,226,26,284,50
INV0000027,P0027,2026-01-01,686,271,77,880,50
INV0000028,P0028,2026-01-01,288,371,123,536,55
INV0000029,P0029,2026-01-01,331,169,53,447,50
INV0000030,P0030,2026-01-01,430,170,83,517,50
INV0000031,P0031,2026-01-01,572,47,176,443,79
INV0000032,P0032,2026-01-01,293,366,104,555,50
INV0000033,P0033,2026-01-01,342,194,116,420,52
INV0000034,P0034,2026-01-01,623,110,90,643,50
INV0000035,P0035,2026-01-01,507,347,45,809,50
INV0000036,P0036,2026-01-01,603,329,113,819,50
INV0000037,P0037,2026-01-01,121,367,43,445,50
INV0000038,P0038,2026-01-01,106,214,37,283,50
INV0000039,P0039,2026-01-01,71,147,92,126,50
INV0000040,P0040,2026-01-01,590,235,10,815,50
INV0000041,P0041,2026-01-01,231,58,92,197,50
INV0000042,P0042,2026-01-01,237,308,27,518,50
INV0000043,P0043,2026-01-01,248,254,46,456,50
INV0000044,P0044,2026-01-01,214,163,34,343,50
INV0000045,P0045,2026-01-01,409,360,166,603,74
INV0000046,P0046,2026-01-01,683,263,157,789,70
INV0000047,P0047,2026-01-01,151,328,131,348,58
INV0000048,P0048,2026-01-01,474,180,48,606,50
INV0000049,P0049,2026-01-01,196,1,169,28,76
INV0000050,P0050,2026-01-01,633,73,52,654,50
INV0000051,P0051,2026-01-01,411,324,17,718,50
INV0000052,P0052,2026-01-01,444,253,156,541,70
INV0000053,P0053,2026-01-01,97,261,135,223,60
INV0000054,P0054,2026-01-01,454,95,53,496,50
INV0000055,P0055,2026-01-01,614,228,157,685,70
INV0000056,P0056,2026-01-01,323,104,66,361,50
INV0000057,P0057,2026-01-01,399,154,28,525,50
INV0000058,P0058,2026-01-01,156,199,129,226,58
INV0000059,P0059,2026-01-01,498,273,136,635,61
INV0000060,P0060,2026-01-01,661,346,20,987,50
INV0000061,P0061,2026-01-01,341,73,29,385,50
INV0000062,P0062,2026-01-01,543,199,129,613,58
INV0000063,P0063,2026-01-01,218,109,125,202,56
INV0000064,P0064,2026-01-01,466,128,23,571,50
INV0000065,P0065,2026-01-01,348,195,103,440,50
INV0000066,P0066,2026-01-01,399,76,162,313,72
INV0000067,P0067,2026-01-01,86,349,72,363,50
INV0000068,P0068,2026-01-01,598,296,73,821,50
INV0000069,P0069,2026-01-01,238,97,30,305,50
INV0000070,P0070,2026-01-01,168,205,145,228,65
INV0000071,P0071,2026-01-01,349,318,178,489,80
INV0000072,P0072,2026-01-01,606,96,152,550,68
INV0000073,P0073,2026-01-01,230,278,17,491,50
INV0000074,P0074,2026-01-01,390,236,70,556,50
INV0000075,P0075,2026-01-01,223,332,141,414,63
INV0000076,P0076,2026-01-01,583,12,103,492,50
INV0000077,P0077,2026-01-01,686,117,176,627,79
INV0000078,P0078,2026-01-01,318,263,77,504,50
INV0000079,P0079,2026-01-01,350,293,126,517,56
INV0000080,P0080,2026-01-01,126,275,119,282,53
INV0000081,P0081,2026-01-01,82,169,20,231,50
INV0000082,P0082,2026-01-01,87,301,53,335,50
INV0000083,P0083,2026-01-01,582,97,98,581,50
INV0000084,P0084,2026-01-01,361,162,147,376,66
INV0000085,P0085,2026-01-01,143,22,25,140,50
INV0000086,P0086,2026-01-01,421,167,79,509,50
INV0000087,P0087,2026-01-01,55,397,118,334,53
INV0000088,P0088,2026-01-01,596,349,174,771,78
INV0000089,P0089,2026-01-01,548,289,97,740,50
INV0000090,P0090,2026-01-01,427,345,6,766,50
INV0000091,P0091,2026-01-01,82,267,118,231,53
INV0000092,P0092,2026-01-01,489,321,129,681,58
INV0000093,P0093,2026-01-01,235,346,59,522,50
INV0000094,P0094,2026-01-01,95,352,20,427,50
INV0000095,P0095,2026-01-01,600,161,71,690,50
INV0000096,P0096,2026-01-01,426,244,127,543,57
INV0000097,P0097,2026-01-01,598,65,134,529,60
INV0000098,P0098,2026-01-01,250,24,88,186,50
INV0000099,P0099,2026-01-01,687,337,16,1008,50
INV0000100,P0100,2026-01-01,553,222,101,674,50
INV0000101,P0101,2026-01-01,618,23,136,505,61
INV0000102,P0102,2026-01-01,138,268,86,320,50
INV0000103,P0103,2026-01-01,648,85,94,639,50
INV0000104,P0104,2026-01-01,304,279,110,473,50
INV0000105,P0105,2026-01-01,135,314,49,400,50
INV0000106,P0106,2026-01-01,483,155,157,481,70
INV0000107,P0107,2026-01-01,665,397,68,994,50
INV0000108,P0108,2026-01-01,205,34,44,195,50
INV0000109,P0109,2026-01-01,639,201,79,761,50
INV0000110,P0110,2026-01-01,475,4,85,394,50
INV0000111,P0111,2026-01-01,374,91,48,417,50
INV0000112,P0112,2026-01-01,264,386,75,575,50
INV0000113,P0113,2026-01-01,50,338,101,287,50
INV0000114,P0114,2026-01-01,559,204,82,681,50
INV0000115,P0115,2026-01-01,58,356,24,390,50
INV0000116,P0116,2026-01-01,180,177,150,207,67
INV0000117,P0117,2026-01-01,520,291,139,672,62
INV0000118,P0118,2026-01-01,122,276,72,326,50
INV0000119,P0119,2026-01-01,453,228,39,642,50
INV0000120,P0120,2026-01-01,257,121,15,363,50
INV0000121,P0121,2026-01-01,165,139,132,172,59
INV0000122,P0122,2026-01-01,551,180,158,573,71
INV0000123,P0123,2026-01-01,80,109,119,70,53
INV0000124,P0124,2026-01-01,132,47,20,159,50
INV0000125,P0125,2026-01-01,637,372,100,909,50
INV0000126,P0126,2026-01-01,265,326,101,490,50
INV0000127,P0127,2026-01-01,440,383,72,751,50
INV0000128,P0128,2026-01-01,133,255,105,283,50
INV0000129,P0129,2026-01-01,216,243,60,399,50
INV0000130,P0130,2026-01-01,526,148,149,525,67
INV0000131,P0131,2026-01-01,148,100,155,93,69
INV0000132,P0132,2026-01-01,151,40,30,161,50
INV0000133,P0133,2026-01-01,698,347,7,1038,50
INV0000134,P0134,2026-01-01,189,69,40,218,50
INV0000135,P0135,2026-01-01,648,285,167,766,75
INV0000136,P0136,2026-01-01,543,131,24,650,50
INV0000137,P0137,2026-01-01,290,277,25,542,50
INV0000138,P0138,2026-01-01,287,75,64,298,50
INV0000139,P0139,2026-01-01,249,197,121,325,54
INV0000140,P0140,2026-01-01,331,165,135,361,60
INV0000141,P0141,2026-01-01,681,168,118,731,53
INV0000142,P0142,2026-01-01,52,122,108,66,50
INV0000143,P0143,2026-01-01,533,162,104,591,50
INV0000144,P0144,2026-01-01,283,104,41,346,50
INV0000145,P0145,2026-01-01,602,129,75,656,50
INV0000146,P0146,2026-01-01,563,339,10,892,50
INV0000147,P0147,2026-01-01,610,345,176,779,79
INV0000148,P0148,2026-01-01,677,381,85,973,50
INV0000149,P0149,2026-01-01,553,99,80,572,50
INV0000150,P0150,2026-01-01,53,296,25,324,50
INV0000151,P0151,2026-01-01,546,167,72,641,50
INV0000152,P0152,2026-01-01,358,139,167,330,75
INV0000153,P0153,2026-01-01,116,305,80,341,50
INV0000154,P0154,2026-01-01,563,79,120,522,54
INV0000155,P0155,2026-01-01,520,142,170,492,76
INV0000156,P0156,2026-01-01,241,96,102,235,50
INV0000157,P0157,2026-01-01,695,230,72,853,50
INV0000158,P0158,2026-01-01,415,152,93,474,50
INV0000159,P0159,2026-01-01,441,75,108,408,50
INV0000160,P0160,2026-01-01,323,398,84,637,50
INV0000161,P0161,2026-01-01,697,196,135,758,60
INV0000162,P0162,2026-01-01,298,86,33,351,50
INV0000163,P0163,2026-01-01,630,387,25,992,50
INV0000164,P0164,2026-01-01,121,323,56,388,50
INV0000165,P0165,2026-01-01,362,28,116,274,52
INV0000166,P0166,2026-01-01,346,137,32,451,50
INV0000167,P0167,2026-01-01,474,96,68,502,50
INV0000168,P0168,2026-01-01,680,164,41,803,50
INV0000169,P0169,2026-01-01,184,71,119,136,53
INV0000170,P0170,2026-01-01,667,333,37,963,50
INV0000171,P0171,2026-01-01,382,332,96,618,50
INV0000172,P0172,2026-01-01,80,78,170,0,76
INV0000173,P0173,2026-01-01,689,384,177,896,79
INV0000174,P0174,2026-01-01,669,210,31,848,50
INV0000175,P0175,2026-01-01,295,398,167,526,75
INV0000176,P0176,2026-01-01,654,221,103,772,50
INV0000177,P0177,2026-01-01,377,353,100,630,50
INV0000178,P0178,2026-01-01,469,372,177,664,79
INV0000179,P0179,2026-01-01,157,90,164,83,73
INV0000180,P0180,2026-01-01,620,144,9,755,50
INV0000181,P0181,2026-01-01,457,73,12,518,50
INV0000182,P0182,2026-01-01,310,343,113,540,50
INV0000183,P0183,2026-01-01,578,175,32,721,50
INV0000184,P0184,2026-01-01,472,152,163,461,73
INV0000185,P0185,2026-01-01,618,193,121,690,54
INV0000186,P0186,2026-01-01,695,96,70,721,50
INV0000187,P0187,2026-01-01,699,174,179,694,80
INV0000188,P0188,2026-01-01,498,234,112,620,50
INV0000189,P0189,2026-01-01,114,282,132,264,59
INV0000190,P0190,2026-01-01,391,342,107,626,50
INV0000191,P0191,2026-01-01,583,359,136,806,61
INV0000192,P0192,2026-01-01,686,141,126,701,56
INV0000193,P0193,2026-01-01,436,89,177,348,79
INV0000194,P0194,2026-01-01,232,324,80,476,50
INV0000195,P0195,2026-01-01,314,60,86,288,50
INV0000196,P0196,2026-01-01,469,258,50,677,50
INV0000197,P0197,2026-01-01,325,236,153,408,68
INV0000198,P0198,2026-01-01,597,90,60,627,50
INV0000199,P0199,2026-01-01,82,128,23,187,50
INV0000200,P0200,2026-01-01,205,188,40,353,50
INV0000201,P0201,2026-01-01,270,327,164,433,73
INV0000202,P0202,2026-01-01,145,273,105,313,50
INV0000203,P0203,2026-01-01,277,353,178,452,80
INV0000204,P0204,2026-01-01,53,213,125,141,56
INV0000205,P0205,2026-01-01,590,71,118,543,53
INV0000206,P0206,2026-01-01,112,325,102,335,50
INV0000207,P0207,2026-01-01,293,61,31,323,50
INV0000208,P0208,2026-01-01,230,28,117,141,52
INV0000209,P0209,2026-01-01,525,189,48,666,50
INV0000210,P0210,2026-01-01,636,301,34,903,50
INV0000211,P0211,2026-01-01,182,372,91,463,50
INV0000212,P0212,2026-01-01,294,1,105,190,50
INV0000213,P0213,2026-01-01,544,296,64,776,50
INV0000214,P0214,2026-01-01,226,9,33,202,50
INV0000215,P0215,2026-01-01,366,340,149,557,67
INV0000216,P0216,2026-01-01,510,249,6,753,50
INV0000217,P0217,2026-01-01,648,273,166,755,74
INV0000218,P0218,2026-01-01,236,41,93,184,50
INV0000219,P0219,2026-01-01,670,387,112,945,50
INV0000220,P0220,2026-01-01,621,21,164,478,73
INV0000221,P0221,2026-01-01,530,214,105,639,50
INV0000222,P0222,2026-01-01,555,41,64,532,50
INV0000223,P0223,2026-01-01,633,365,37,961,50
INV0000224,P0224,2026-01-01,660,53,149,564,67
INV0000225,P0225,2026-01-01,348,165,89,424,50
INV0000226,P0226,2026-01-01,51,262,56,257,50
INV0000227,P0227,2026-01-01,465,247,122,590,54
INV0000228,P0228,2026-01-01,602,39,66,575,50
INV0000229,P0229,2026-01-01,146,22,88,80,50
INV0000230,P0230,2026-01-01,355,296,95,556,50
INV0000231,P0231,2026-01-01,324,248,65,507,50
INV0000232,P0232,2026-01-01,608,70,143,535,64
INV0000233,P0233,2026-01-01,324,97,72,349,50
INV0000234,P0234,2026-01-01,617,100,8,709,50
INV0000235,P0235,2026-01-01,201,129,164,166,73
INV0000236,P0236,2026-01-01,434,343,14,763,50
INV0000237,P0237,2026-01-01,438,304,171,571,76
INV0000238,P0238,2026-01-01,651,359,12,998,50
INV0000239,P0239,2026-01-01,336,225,38,523,50
INV0000240,P0240,2026-01-01,201,80,64,217,50
INV0000241,P0241,2026-01-01,454,268,124,598,55
INV0000242,P0242,2026-01-01,595,163,111,647,50
INV0000243,P0243,2026-01-01,98,231,10,319,50
INV0000244,P0244,2026-01-01,276,92,67,301,50
INV0000245,P0245,2026-01-01,411,307,101,617,50
INV0000246,P0246,2026-01-01,126,359,68,417,50
INV0000247,P0247,2026-01-01,281,371,73,579,50
INV0000248,P0248,2026-01-01,613,115,105,623,50
INV0000249,P0249,2026-01-01,355,309,52,612,50
INV0000250,P0250,2026-01-01,255,131,26,360,50
INV0000251,P0251,2026-01-01,279,64,77,266,50
INV0000252,P0252,2026-01-01,595,158,146,607,65
INV0000253,P0253,2026-01-01,531,96,137,490,61
INV0000254,P0254,2026-01-01,537,254,13,778,50
INV0000255,P0255,2026-01-01,657,108,42,723,50
INV0000256,P0256,2026-01-01,450,309,48,711,50
INV0000257,P0257,2026-01-01,547,123,147,523,66
INV0000258,P0258,2026-01-01,457,192,71,578,50
INV0000259,P0259,2026-01-01,208,88,28,268,50
INV0000260,P0260,2026-01-01,468,237,75,630,50
