order_item_id,order_id,product_id,quantity,unit_price,discount_percent,cost_price,revenue,cost,profit
OI0000001,O000001,P0493,1,3209,3.39,2123.17,3100.15,2123.17,976.98
OI0000002,O000002,P0366,1,1420,7.57,995.98,1312.55,995.98,316.57
OI0000003,O000002,P0183,1,15248,9.43,7934.5,13810.03,7934.5,5875.53
OI0000004,O000003,P0231,1,4081,13.87,2048.85,3515.0,2048.85,1466.15
OI0000005,O000003,P0197,1,6718,12.31,4429.4,5891.02,4429.4,1461.62
OI0000006,O000004,P0072,3,22561,17.93,13652.54,55548.58,40957.62,14590.96
OI0000007,O000005,P0455,1,6531,5.25,3455.55,6188.41,3455.55,2732.86
OI0000008,O000006,P0433,1,1166,8.3,870.21,1069.25,870.21,199.04
OI0000009,O000007,P0234,1,4725,2.09,3615.98,4626.1,3615.98,1010.12
OI0000010,O000007,P0418,2,8774,4.0,6711.38,16846.31,13422.76,3423.55
OI0000011,O000007,P0170,1,9400,7.71,6266.85,8674.91,6266.85,2408.06
OI0000012,O000008,P0281,3,3337,11.77,2203.63,8832.41,6610.89,2221.52
OI0000013,O000009,P0102,1,2178,3.98,1418.36,2091.36,1418.36,673.0
OI0000014,O000010,P0115,1,7155,5.88,4066.32,6734.32,4066.32,2668.0
OI0000015,O000011,P0374,1,4420,11.42,2555.04,3915.45,2555.04,1360.41
OI0000016,O000012,P0345,1,4620,4.58,2688.52,4408.19,2688.52,1719.67
OI0000017,O000013,P0445,1,11148,4.64,8442.7,10631.24,8442.7,2188.54
OI0000018,O000014,P0386,1,2086,10.63,1121.71,1864.21,1121.71,742.5
OI0000019,O000014,P0242,1,3979,11.56,2853.39,3518.88,2853.39,665.49
OI0000020,O000015,P0337,1,4175,6.82,2310.74,3890.2,2310.74,1579.46
OI0000021,O000016,P0333,1,4120,8.86,2123.28,3754.85,2123.28,1631.57
OI0000022,O000017,P0029,2,28352,5.73,15179.59,53456.81,30359.18,23097.63
OI0000023,O000018,P0106,1,6310,8.16,3297.55,5795.06,3297.55,2497.51
OI0000024,O000019,P0255,1,6382,8.27,3332.34,5854.19,3332.34,2521.85
OI0000025,O000019,P0462,1,9661,6.71,5444.62,9012.63,5444.62,3568.01
OI0000026,O000020,P0206,1,5617,14.19,3554.31,4819.82,3554.31,1265.51
OI0000027,O000020,P0010,1,17197,14.84,12726.14,14644.71,12726.14,1918.57
OI0000028,O000020,P0298,2,3568,2.34,1851.95,6969.24,3703.9,3265.34
OI0000029,O000021,P0013,2,29674,11.67,19864.04,52423.74,39728.08,12695.66
OI0000030,O000021,P0091,2,12090,10.02,8949.82,21756.52,17899.64,3856.88
OI0000031,O000022,P0160,2,8138,14.87,4293.61,13855.13,8587.22,5267.91
OI0000032,O000023,P0449,1,11860,7.35,9247.78,10987.83,9247.78,1740.05
OI0000033,O000024,P0383,1,3006,3.39,1932.59,2903.99,1932.59,971.4
OI0000034,O000024,P0232,1,5757,13.9,3381.09,4956.57,3381.09,1575.48
OI0000035,O000024,P0080,1,23574,5.72,14198.05,22224.6,14198.05,8026.55
OI0000036,O000025,P0197,1,6718,6.57,4429.4,6276.39,4429.4,1846.99
OI0000037,O000026,P0010,1,17197,12.25,12726.14,15090.23,12726.14,2364.09
OI0000038,O000027,P0100,1,18648,8.39,10804.92,17083.98,10804.92,6279.06
OI0000039,O000028,P0215,1,5246,6.29,3695.35,4916.04,3695.35,1220.69
