order_id,customer_id,order_date,channel,payment_method,order_status,shipping_state,shipping_city,subtotal,discount_amount,shipping_fee,tax_amount,total_amount
O000001,C00758,2026-04-12,Marketplace,Credit Card,Delivered,Kerala,Thiruvananthapuram,3100.15,46.43,82.72,322.92,3459.36
O000002,C00839,2025-04-05,Website,Credit Card,Delivered,Tamil Nadu,Coimbatore,15122.58,84.66,82.89,1532.3,16653.11
O000003,C05165,2025-05-06,Marketplace,Debit Card,Delivered,West Bengal,Kolkata,9406.02,65.07,20.25,1253.78,10614.98
O000004,C03863,2026-07-26,Website,COD,Returned,West Bengal,Kolkata,55548.58,1356.02,88.87,8739.53,63020.96
O000005,C02860,2026-09-30,Website,UPI,Delivered,Delhi,Delhi,6188.41,284.16,18.22,1053.55,6976.02
O000006,C09395,2025-03-07,Website,Debit Card,Delivered,Rajasthan,Jodhpur,1069.25,27.0,137.36,164.35,1343.96
O000007,C04401,2025-08-20,Website,COD,Delivered,Uttar Pradesh,Noida,30147.32,233.55,33.39,3754.01,33701.17
O000008,C03665,2025-02-08,Mobile App,Debit Card,Delivered,Karnataka,Mangaluru,8832.41,143.92,238.78,1493.48,10420.75
O000009,C02351,2025-04-07,Mobile App,UPI,Delivered,Telangana,Warangal,2091.36,14.72,242.01,183.78,2502.43
O000010,C09781,2025-04-18,Website,Debit Card,Returned,Maharashtra,Nagpur,6734.32,168.64,26.72,790.08,7382.48
O000011,C07848,2025-11-24,Website,Credit Card,Delivered,Karnataka,Mangaluru,3915.45,76.42,230.78,548.92,4618.73
O000012,C07233,2025-01-11,Website,COD,Delivered,Maharashtra,Nagpur,4408.19,187.08,245.72,659.79,5126.62
O000013,C00173,2026-06-16,Mobile App,COD,Cancelled,Karnataka,Mysuru,10631.24,403.09,223.49,1182.85,11634.49
O000014,C09743,2025-11-04,Marketplace,Debit Card,Delivered,Gujarat,Surat,5383.09,183.37,172.61,837.02,6209.35
O000015,C04482,2025-11-03,Website,Credit Card,Delivered,West Bengal,Howrah,3890.2,91.05,128.96,340.51,4268.62
O000016,C08571,2026-12-09,Mobile App,COD,Cancelled,West Bengal,Howrah,3754.85,96.02,75.04,184.26,3918.13
O000017,C03887,2025-09-19,Website,UPI,Delivered,Kerala,Thiruvananthapuram,53456.81,2177.6,236.25,4422.23,55937.69
O000018,C08145,2025-02-03,Website,UPI,Delivered,Gujarat,Vadodara,5795.06,146.61,76.8,862.2,6587.45
O000019,C03260,2025-11-05,Marketplace,UPI,Delivered,Telangana,Nizamabad,14866.82,736.34,90.16,1233.03,15453.67
O000020,C01760,2025-12-12,Website,COD,Delivered,Kerala,Kozhikode,26433.769999999997,450.73,93.91,3401.59,29478.54
O000021,C06668,2025-12-14,Mobile App,UPI,Delivered,Delhi,New Delhi,74180.26,614.08,86.08,13043.48,86695.74
O000022,C03132,2025-12-10,Mobile App,UPI,Delivered,Kerala,Thiruvananthapuram,13855.13,98.21,207.3,1082.47,15046.69
O000023,C02499,2025-09-21,Website,UPI,Delivered,Uttar Pradesh,Kanpur,10987.83,96.39,87.83,1624.95,12604.22
O000024,C06799,2026-02-07,Website,COD,Delivered,Gujarat,Vadodara,30085.159999999996,1438.05,102.88,2363.85,31113.84
O000025,C05392,2026-10-15,Marketplace,Wallet,Delivered,Tamil Nadu,Madurai,6276.39,64.53,27.73,417.83,6657.42
O000026,C03305,2025-10-08,Website,Debit Card,Delivered,Rajasthan,Udaipur,15090.23,610.91,94.53,1711.37,16285.22
O000027,C08190,2026-01-29,Website,Wallet,Delivered,Uttar Pradesh,Lucknow,17083.98,844.72,186.98,1984.5,18410.74
O000028,C05827,2026-10-02,Marketplace,UPI,Delivered,West Bengal,Howrah,4916.04,131.79,37.08,782.92,5604.25
O000029,C08063,2025-11-01,Mobile App,UPI,Delivered,Gujarat,Surat,13450.36,393.93,46.48,1592.46,14695.37
O000030,C00952,2025-04-16,Mobile App,Credit Card,Returned,Karnataka,Bengaluru,3222.77,111.15,149.36,357.22,3618.2
O000031,C04627,2025-11-21,Website,UPI,Returned,Uttar Pradesh,Lucknow,28635.56,479.81,102.67,4844.74,33103.16
O000032,C04909,2026-01-04,Website,Credit Card,Returned,West Bengal,Howrah,5720.54,48.9,174.49,594.77,6440.9
O000033,C01659,2026-10-14,Mobile App,Credit Card,Delivered,Tamil Nadu,Madurai,6654.29,244.47,8.37,437.08,6855.27
O000034,C07440,2026-10-05,Website,Credit Card,Delivered,Kerala,Kochi,6897.97,182.14,233.83,724.08,7673.74
O000035,C09755,2026-07-31,Mobile App,UPI,Cancelled,Gujarat,Surat,4822.65,53.46,51.6,830.3,5651.09
O000036,C07701,2025-10-23,Website,COD,Returned,Maharashtra,Nagpur,7188.79,48.41,2.68,1168.42,8311.48
O000037,C02432,2025-08-06,Mobile App,UPI,Delivered,Rajasthan,Jaipur,3493.76,107.99,140.0,300.89,3826.66
O000038,C03860,2025-11-27,Marketplace,Credit Card,Delivered,Telangana,Nizamabad,2669.12,63.06,178.31,311.15,3095.52
O000039,C00825,2025-09-10,Website,UPI,Delivered,Uttar Pradesh,Lucknow,3889.6499999999996,1.34,156.72,687.59,4732.62
O000040,C07261,2026-12-19,Marketplace,UPI,Delivered,Uttar Pradesh,Kanpur,32972.05,1420.33,242.47,4081.8,35875.99
O000041,C09337,2025-03-09,Website,Credit Card,Delivered,Tamil Nadu,Madurai,20499.77,203.87,55.59,1297.65,21649.14
O000042,C05595,2026-01-05,Website,COD,Delivered,Gujarat,Ahmedabad,6523.7,136.39,130.46,1105.79,7623.56
O000043,C08540,2025-10-24,Mobile App,Wallet,Delivered,Karnataka,Mysuru,18317.75,645.53,18.25,1304.07,18994.54
O000044,C03420,2026-08-03,Website,Credit Card,Returned,Uttar Pradesh,Noida,2456.08,44.98,44.73,421.94,2877.77
O000045,C04154,2026-03-18,Mobile App,Net Banking,Delivered,Delhi,New Delhi,15514.73,498.89,2.1,2534.94,17552.88
O000046,C00638,2025-02-18,Website,Debit Card,Delivered,Rajasthan,Udaipur,6728.73,108.75,86.84,461.16,7167.98
O000047,C09018,2026-05-15,Website,UPI,Delivered,Tamil Nadu,Coimbatore,2040.3,89.06,65.41,208.34,2224.99
O000048,C00527,2025-12-27,Mobile App,Credit Card,Delivered,Kerala,Kochi,25398.1,80.13,113.2,2261.06,27692.23
O000049,C05381,2026-04-01,Website,UPI,Delivered,Maharashtra,Mumbai,1550.35,47.56,107.33,84.36,1694.48
O000050,C01543,2025-03-14,Website,UPI,Delivered,Tamil Nadu,Coimbatore,15447.75,725.83,74.84,766.37,15563.13
O000051,C07391,2026-01-08,Marketplace,Net Banking,Delivered,Karnataka,Bengaluru,16222.849999999999,578.11,67.56,1543.36,17255.66
O000052,C07951,2026-01-23,Website,COD,Delivered,West Bengal,Howrah,23600.67,1016.93,2.55,2086.91,24673.2
O000053,C00631,2025-04-24,Marketplace,COD,Delivered,Kerala,Kochi,2159.79,100.6,88.11,170.07,2317.37
O000054,C01098,2026-03-31,Website,Debit Card,Delivered,Uttar Pradesh,Noida,25115.06,85.12,66.79,3046.39,28143.12
O000055,C09504,2026-11-07,Website,COD,Delivered,Maharashtra,Mumbai,21316.77,858.67,192.53,2118.43,22769.06
O000056,C04701,2025-01-21,Website,Credit Card,Returned,Kerala,Kozhikode,11238.51,311.73,136.92,1505.56,12569.26
O000057,C06616,2025-07-18,Marketplace,COD,Delivered,Maharashtra,Mumbai,8285.59,8.23,95.25,1385.14,9757.75
O000058,C00979,2025-09-17,Website,Debit Card,Delivered,Gujarat,Ahmedabad,7282.93,3.58,65.97,936.15,8281.47
O000059,C09547,2026-02-05,Website,UPI,Delivered,West Bengal,Kolkata,4941.65,219.08,190.88,594.46,5507.91
O000060,C07040,2026-07-08,Website,Net Banking,Delivered,Kerala,Thiruvananthapuram,10443.47,415.6,175.8,1548.66,11752.33
O000061,C09388,2026-05-05,Website,COD,Delivered,Uttar Pradesh,Lucknow,16398.33,321.28,5.38,1476.64,17559.07
O000062,C00772,2025-12-09,Website,Net Banking,Delivered,Gujarat,Ahmedabad,2571.31,122.66,156.91,188.41,2793.97
O000063,C09332,2026-12-08,Mobile App,Debit Card,Delivered,Telangana,Warangal,2335.95,41.7,93.44,288.04,2675.73
O000064,C06231,2025-09-28,Mobile App,UPI,Delivered,Kerala,Thiruvananthapuram,5046.5599999999995,237.77,164.88,490.21,5463.88
O000065,C03463,2026-08-12,Website,Credit Card,Delivered,Telangana,Nizamabad,13170.349999999999,399.86,167.67,1578.54,14516.7
O000066,C06692,2026-09-15,Mobile App,UPI,Delivered,Telangana,Nizamabad,2666.9,5.26,9.93,244.51,2916.08
O000067,C07566,2025-03-21,Marketplace,Credit Card,Delivered,Uttar Pradesh,Kanpur,21528.62,502.54,137.87,1683.05,22847.0
O000068,C01776,2025-02-05,Mobile App,Debit Card,Returned,Delhi,Delhi,29372.63,1210.14,193.77,4747.4,33103.66
O000069,C06806,2026-12-23,Mobile App,UPI,Delivered,Uttar Pradesh,Noida,10405.21,329.9,57.34,800.33,10932.98
O000070,C02208,2025-10-08,Mobile App,UPI,Returned,Tamil Nadu,Coimbatore,31160.89,684.45,242.12,3891.94,34610.5
O000071,C06209,2026-05-11,Website,Credit Card,Cancelled,Telangana,Hyderabad,6606.96,263.79,239.88,383.82,6966.87
O000072,C09660,2025-01-24,Marketplace,UPI,Delivered,Tamil Nadu,Madurai,2886.15,11.28,45.54,209.51,3129.92
O000073,C03244,2026-07-27,Website,Wallet,Delivered,Karnataka,Mysuru,6423.55,144.71,42.52,503.22,6824.58
O000074,C01178,2025-10-04,Mobile App,UPI,Delivered,Tamil Nadu,Chennai,11728.97,106.58,245.82,724.27,12592.48
O000075,C05020,2026-03-06,Website,UPI,Delivered,Tamil Nadu,Madurai,3995.76,117.4,125.38,635.31,4639.05
O000076,C08098,2025-02-08,Mobile App,Credit Card,Delivered,Delhi,New Delhi,1487.57,28.22,248.5,182.78,1890.63
O000077,C02449,2025-03-26,Website,COD,Delivered,Gujarat,Ahmedabad,1990.47,7.67,183.82,179.63,2346.25
O000078,C07051,2026-09-12,Marketplace,UPI,Delivered,Kerala,Kozhikode,25326.230000000003,457.72,81.9,1601.89,26552.3
O000079,C04629,2026-02-13,Website,UPI,Cancelled,Maharashtra,Pune,3448.19,18.99,155.18,511.24,4095.62
O000080,C02118,2026-08-06,Website,UPI,Delivered,Telangana,Nizamabad,3422.74,103.59,56.59,332.17,3707.91
O000081,C04973,2025-05-05,Website,UPI,Delivered,Karnataka,Mangaluru,4239.79,177.04,222.15,573.17,4858.07
O000082,C08753,2025-09-16,Marketplace,COD,Returned,Uttar Pradesh,Kanpur,2613.12,86.56,20.08,311.12,2857.76
O000083,C09305,2026-10-04,Mobile App,UPI,Delivered,Telangana,Nizamabad,13762.45,290.24,4.75,2280.57,15757.53
O000084,C00703,2026-03-10,Mobile App,UPI,Returned,Maharashtra,Pune,16983.73,6.56,249.27,2201.02,19427.46
O000085,C09495,2026-05-12,Website,UPI,Delivered,Telangana,Warangal,16008.74,661.93,209.54,1423.34,16979.69
O000086,C05540,2025-06-11,Marketplace,UPI,Delivered,Telangana,Hyderabad,10020.62,49.87,247.48,1619.24,11837.47
O000087,C03353,2026-02-14,Website,Debit Card,Delivered,Telangana,Warangal,1973.68,84.13,94.55,121.21,2105.31
O000088,C01577,2026-07-03,Mobile App,COD,Delivered,Uttar Pradesh,Lucknow,2444.32,100.67,123.92,331.36,2798.93
O000089,C07162,2025-05-15,Marketplace,Credit Card,Delivered,Tamil Nadu,Coimbatore,5136.88,7.01,16.27,735.26,5881.4
O000090,C05552,2025-08-24,Website,Wallet,Delivered,Telangana,Hyderabad,12221.6,488.34,73.65,887.82,12694.73
O000091,C09109,2025-01-08,Marketplace,COD,Returned,Uttar Pradesh,Noida,12875.47,460.2,39.98,1398.3,13853.55
O000092,C05730,2026-12-09,Website,COD,Delivered,Karnataka,Mysuru,6634.55,259.11,136.58,823.14,7335.16
O000093,C03987,2026-10-30,Website,UPI,Returned,Maharashtra,Nagpur,33801.47,664.73,23.91,2063.21,35223.86
O000094,C00010,2025-03-15,Website,Credit Card,Delivered,Delhi,New Delhi,4615.76,165.81,171.82,545.26,5167.03
O000095,C01883,2026-09-20,Mobile App,Net Banking,Delivered,Tamil Nadu,Chennai,36259.14,1199.43,173.18,6221.38,41454.27
O000096,C07949,2026-02-07,Website,Debit Card,Delivered,Karnataka,Mangaluru,6918.13,178.79,229.39,482.76,7451.49
O000097,C00058,2026-12-10,Mobile App,COD,Delivered,Gujarat,Vadodara,3802.16,178.77,202.82,224.79,4051.0
O000098,C01831,2026-01-08,Marketplace,Net Banking,Delivered,Delhi,New Delhi,5364.05,169.35,156.64,377.38,5728.72
O000099,C07714,2025-06-11,Mobile App,COD,Delivered,Maharashtra,Nagpur,5521.55,111.82,117.79,804.68,6332.2
O000100,C01076,2026-10-07,Website,COD,Delivered,Karnataka,Mangaluru,10338.68,80.24,26.31,1173.21,11457.96
O000101,C07859,2026-11-25,Website,COD,Delivered,Uttar Pradesh,Lucknow,22343.37,419.99,123.18,1152.94,23199.5
O000102,C07734,2026-01-25,Mobile App,Credit Card,Delivered,Karnataka,Mysuru,15108.760000000002,101.05,231.93,2175.9,17415.54
O000103,C08448,2025-11-07,Mobile App,Wallet,Cancelled,West Bengal,Howrah,2234.11,27.85,201.58,128.37,2536.21
O000104,C01660,2026-08-05,Website,COD,Delivered,Telangana,Warangal,42136.56,2084.7,241.92,4902.56,45196.34
O000105,C00809,2025-03-09,Mobile App,Debit Card,Delivered,Delhi,New Delhi,9916.34,359.33,101.56,1202.41,10860.98
O000106,C09743,2026-09-28,Mobile App,Wallet,Delivered,Gujarat,Surat,19413.42,958.93,112.89,1685.79,20253.17
O000107,C03269,2026-10-10,Marketplace,UPI,Delivered,Kerala,Kochi,7958.13,264.9,162.3,1005.5,8861.03
