payment_id,order_id,payment_date,payment_method,payment_status,amount,failure_reason
PAY000001,O000001,2026-04-12,Credit Card,Success,3459.36,
PAY000002,O000002,2025-04-05,Credit Card,Success,16653.11,
PAY000003,O000003,2025-05-06,Debit Card,Success,10614.98,
PAY000004,O000004,2026-07-26,COD,Success,63020.96,
PAY000005,O000005,2026-09-30,UPI,Success,6976.02,
PAY000006,O000006,2025-03-07,Debit Card,Success,1343.96,
PAY000007,O000007,2025-08-20,COD,Success,33701.17,
PAY000008,O000008,2025-02-08,Debit Card,Success,10420.75,
PAY000009,O000009,2025-04-07,UPI,Success,2502.43,
PAY000010,O000010,2025-04-18,Debit Card,Success,7382.48,
PAY000011,O000011,2025-11-24,Credit Card,Success,4618.73,
PAY000012,O000012,2025-01-11,COD,Success,5126.62,
PAY000013,O000013,2026-06-16,COD,Success,11634.49,
PAY000014,O000014,2025-11-04,Debit Card,Success,6209.35,
PAY000015,O000015,2025-11-03,Credit Card,Success,4268.62,
PAY000016,O000016,2026-12-09,COD,Failed,3918.13,Insufficient Funds
PAY000017,O000017,2025-09-19,UPI,Success,55937.69,
PAY000018,O000018,2025-02-03,UPI,Success,6587.45,
PAY000019,O000019,2025-11-05,UPI,Success,15453.67,
PAY000020,O000020,2025-12-12,COD,Success,29478.54,
PAY000021,O000021,2025-12-14,UPI,Success,86695.74,
PAY000022,O000022,2025-12-10,UPI,Success,15046.69,
PAY000023,O000023,2025-09-21,UPI,Success,12604.22,
PAY000024,O000024,2026-02-07,COD,Success,31113.84,
PAY000025,O000025,2026-10-15,Wallet,Success,6657.42,
PAY000026,O000026,2025-10-08,Debit Card,Success,16285.22,
PAY000027,O000027,2026-01-29,Wallet,Success,18410.74,
PAY000028,O000028,2026-10-02,UPI,Success,5604.25,
PAY000029,O000029,2025-11-01,UPI,Success,14695.37,
PAY000030,O000030,2025-04-16,Credit Card,Success,3618.2,
PAY000031,O000031,2025-11-21,UPI,Success,33103.16,
PAY000032,O000032,2026-01-04,Credit Card,Success,6440.9,
PAY000033,O000033,2026-10-14,Credit Card,Success,6855.27,
PAY000034,O000034,2026-10-05,Credit Card,Success,7673.74,
PAY000035,O000035,2026-07-31,UPI,Success,5651.09,
