product_id,product_name,category,subcategory,brand,selling_price,cost_price,launch_date
P0001,Electronics Audio Product 1,Electronics,Audio,Zenith,25522,17826.12,2025-07-21
P0002,Electronics Audio Product 2,Electronics,Audio,Mira,26589,20549.95,2024-08-14
P0003,Electronics Audio Product 3,Electronics,Audio,Mira,7255,3641.89,2025-03-13
P0004,Electronics Audio Product 4,Electronics,Audio,Zenith,14544,7401.91,2024-01-24
P0005,Electronics Audio Product 5,Electronics,Audio,Aster,28718,14480.83,2024-08-14
P0006,Electronics Audio Product 6,Electronics,Audio,Orion,25625,13790.34,2025-09-14
P0007,Electronics Audio Product 7,Electronics,Audio,Mira,9946,6210.02,2024-07-06
P0008,Electronics Audio Product 8,Electronics,Audio,Orion,2225,1647.22,2024-08-19
P0009,Electronics Audio Product 9,Electronics,Audio,Nova,32404,22309.51,2025-07-21
P0010,Electronics Audio Product 10,Electronics,Audio,Zenith,17197,12726.14,2025-03-24
P0011,Electronics Audio Product 11,Electronics,Audio,Pulse,25922,18466.5,2024-07-24
P0012,Electronics Audio Product 12,Electronics,Audio,Pulse,33289,25439.06,2025-05-29
P0013,Electronics Audio Product 13,Electronics,Audio,Aster,29674,19864.04,2024-06-23
P0014,Electronics Audio Product 14,Electronics,Audio,UrbanX,10471,7682.25,2024-02-17
P0015,Electronics Audio Product 15,Electronics,Audio,UrbanX,13561,9273.98,2025-10-08
P0016,Electronics Audio Product 16,Electronics,Audio,Nova,17236,11317.07,2024-11-25
P0017,Electronics Audio Product 17,Electronics,Audio,Vertex,1306,709.89,2024-02-07
P0018,Electronics Audio Product 18,Electronics,Audio,Zenith,17638,13051.38,2024-07-03
P0019,Electronics Audio Product 19,Electronics,Audio,Orion,21201,12730.98,2025-08-06
P0020,Electronics Audio Product 20,Electronics,Audio,Nova,7194,4360.85,2024-01-23
P0021,Electronics Audio Product 21,Electronics,Audio,UrbanX,20727,11138.12,2024-11-14
P0022,Electronics Audio Product 22,Electronics,Audio,Zenith,13901,10036.93,2024-03-21
P0023,Electronics Audio Product 23,Electronics,Audio,Pulse,28040,19239.75,2024-04-08
P0024,Electronics Audio Product 24,Electronics,Audio,Pulse,15366,8035.82,2024-04-22
P0025,Electronics Audio Product 25,Electronics,Audio,Aster,33197,17371.92,2024-06-13
P0026,Electronics Mobile Accessories Product 26,Electronics,Mobile Accessories,Pulse,14752,7713.24,2024-09-28
P0027,Electronics Mobile Accessories Product 27,Electronics,Mobile Accessories,Pulse,18234,9473.96,2024-03-20
P0028,Electronics Mobile Accessories Product 28,Electronics,Mobile Accessories,Zenith,15778,11665.62,2025-09-10
P0029,Electronics Mobile Accessories Product 29,Electronics,Mobile Accessories,Nova,28352,15179.59,2024-05-13
P0030,Electronics Mobile Accessories Product 30,Electronics,Mobile Accessories,Zenith,24140,16524.2,2025-09-13
P0031,Electronics Mobile Accessories Product 31,Electronics,Mobile Accessories,Vertex,33429,23902.03,2025-01-02
P0032,Electronics Mobile Accessories Product 32,Electronics,Mobile Accessories,Nova,803,537.4,2024-09-09
P0033,Electronics Mobile Accessories Product 33,Electronics,Mobile Accessories,Nova,8318,6362.96,2025-06-02
P0034,Electronics Mobile Accessories Product 34,Electronics,Mobile Accessories,Aster,21175,15399.62,2024-04-15
P0035,Electronics Mobile Accessories Product 35,Electronics,Mobile Accessories,Zenith,27199,17128.95,2024-10-27
P0036,Electronics Mobile Accessories Product 36,Electronics,Mobile Accessories,Nova,3443,1907.65,2024-09-11
P0037,Electronics Mobile Accessories Product 37,Electronics,Mobile Accessories,Zenith,870,604.3,2024-12-06
P0038,Electronics Mobile Accessories Product 38,Electronics,Mobile Accessories,Pulse,1581,1044.9,2024-01-06
P0039,Electronics Mobile Accessories Product 39,Electronics,Mobile Accessories,Aster,26429,18796.06,2024-11-19
