return_id,order_id,product_id,customer_id,return_date,return_reason,return_quantity,refund_amount
R000001,O000004,P0072,C03863,2026-08-13,Changed Mind,3,55548.58
R000002,O000010,P0115,C09781,2025-05-07,Size Issue,1,6734.32
R000003,O000030,P0253,C00952,2025-04-23,Changed Mind,1,3222.77
R000004,O000031,P0081,C04627,2025-12-04,Late Delivery,1,28635.56
R000005,O000032,P0079,C04909,2026-01-19,Size Issue,2,5720.54
R000006,O000036,P0474,C07701,2025-11-04,Damaged During Delivery,2,7188.79
R000007,O000044,P0142,C03420,2026-08-06,Damaged During Delivery,1,2456.08
R000008,O000056,P0450,C04701,2025-02-08,Product Defect,1,11238.51
R000009,O000068,P0232,C01776,2025-02-11,Not as Expected,1,5180.16
R000010,O000068,P0039,C01776,2025-02-19,Wrong Product,1,24192.47
R000011,O000070,P0226,C02208,2025-10-21,Product Defect,1,5098.14
R000012,O000070,P0195,C02208,2025-10-20,Product Defect,1,14990.06
R000013,O000070,P0473,C02208,2025-10-12,Damaged During Delivery,1,11072.69
R000014,O000082,P0168,C08753,2025-10-04,Size Issue,1,2613.12
R000015,O000084,P0050,C00703,2026-03-28,Changed Mind,1,16983.73
R000016,O000091,P0123,C09109,2025-01-27,Size Issue,1,12875.47
R000017,O000093,P0136,C03987,2026-11-10,Not as Expected,2,24134.95
R000018,O000093,P0409,C03987,2026-11-11,Changed Mind,1,9666.52
R000019,O000113,P0031,C05189,2025-10-23,Changed Mind,1,29619.28
R000020,O000114,P0372,C06009,2026-11-08,Not as Expected,2,5585.8
R000021,O000114,P0069,C06009,2026-11-08,Not as Expected,1,9999.73
R000022,O000122,P0154,C00707,2025-04-11,Damaged During Delivery,1,5968.94
R000023,O000122,P0042,C00707,2025-04-08,Changed Mind,2,22782.6
R000024,O000122,P0259,C00707,2025-04-07,Changed Mind,1,6071.72
R000025,O000141,P0184,C07388,2025-03-21,Size Issue,2,17563.3
R000026,O000158,P0454,C06367,2025-10-24,Size Issue,1,9371.55
R000027,O000159,P0439,C07609,2025-02-18,Product Defect,2,19840.47
R000028,O000161,P0020,C07343,2025-10-22,Product Defect,1,6368.96
R000029,O000161,P0129,C07343,2025-11-07,Not as Expected,1,6754.59
R000030,O000161,P0252,C07343,2025-10-27,Damaged During Delivery,1,5960.11
R000031,O000177,P0385,C02809,2026-11-26,Damaged During Delivery,1,4341.04
R000032,O000178,P0053,C06764,2026-11-26,Damaged During Delivery,1,4240.72
R000033,O000178,P0196,C06764,2026-12-03,Product Defect,1,801.81
R000034,O000194,P0290,C01036,2026-09-05,Wrong Product,2,10008.58
R000035,O000197,P0240,C07362,2025-02-22,Size Issue,2,668.1
R000036,O000197,P0379,C07362,2025-02-23,Size Issue,1,431.95
R000037,O000197,P0096,C07362,2025-02-25,Late Delivery,3,9188.67
R000038,O000205,P0470,C05171,2025-05-30,Changed Mind,1,5387.25
R000039,O000205,P0280,C05171,2025-05-23,Changed Mind,3,6591.01
R000040,O000226,P0272,C05595,2026-12-19,Damaged During Delivery,1,2334.35
