target_id,month,revenue_target,profit_target,orders_target,customer_target
T0001,2025-01,28342194.29,3876060.06,2206,1195
T0002,2025-02,23690560.32,2863380.32,1844,1259
T0003,2025-03,27915016.47,3505008.83,2253,1620
T0004,2025-04,25302354.8,3553731.12,2089,1448
T0005,2025-05,23963319.11,3273997.76,1958,1200
T0006,2025-06,27513131.39,3222042.03,2041,1316
T0007,2025-07,28222425.47,3295389.43,2221,1283
T0008,2025-08,26235563.67,3307646.53,2234,1389
T0009,2025-09,25950485.88,3567496.57,1885,1420
T0010,2025-10,36902898.49,4327609.62,2947,1632
T0011,2025-11,34317809.64,4962817.63,2677,1680
T0012,2025-12,36106776.37,5151088.03,2673,2001
T0013,2026-01,27565829.72,3265991.63,2098,1134
T0014,2026-02,25798655.39,3069799.88,2033,1043
T0015,2026-03,28762241.6,4047909.76,2236,1392
T0016,2026-04,28856862.52,4605780.56,2252,1580
T0017,2026-05,27243458.43,4275445.99,2168,1061
T0018,2026-06,25956824.67,4469875.72,2076,1133
T0019,2026-07,27770373.78,4057421.82,2161,1119
T0020,2026-08,24708415.56,4277300.91,1968,1206
T0021,2026-09,22251529.43,3786619.68,1893,1111
T0022,2026-10,35592566.31,5185065.63,2796,1891
T0023,2026-11,35361006.98,5087784.0,2906,1823
T0024,2026-12,37036316.88,4822901.56,2982,1903
